,Location,Date,Time,Total
0,08th / Bannock,2010-09-16,AM,131.0
1,08th / Bannock,2010-09-14,PM,267.0
2,08th / Fort,2010-09-15,PM,132.0
3,08th / Greenbelt,2010-09-14,PM,270.0
4,08th / River,2010-09-15,AM,114.0
5,08th / River,2010-09-15,PM,252.0
6,10th / Bannock,2010-09-15,PM,175.0
7,13th / Fort,2010-09-14,PM,105.0
8,15th / State,2010-09-15,PM,93.0
9,16th / State,2010-09-15,PM,129.0
10,26th / Ellis,2010-09-14,PM,51.0
11,27th / State,2010-09-14,PM,35.0
12,36th / Hill,2010-09-15,PM,74.0
13,Amity / Holcomb,2010-09-15,PM,20.0
14,Boise / Apple,2010-09-16,PM,61.0
15,Boise / Protest,2010-09-15,PM,105.0
16,Cassia / Curtis,2010-09-14,PM,45.0
17,Cloverdale / McMillan,2010-09-15,PM,56.0
18,Collister / Catalpa,2010-09-16,PM,43.0
19,Emerald / Americana / Latah,2010-09-14,PM,130.0
20,Emerald / Roosevelt,2010-09-14,PM,70.0
21,Federal Way / Bergeson,2010-09-14,PM,51.0
22,Five Mile / McMillan,2010-09-14,PM,52.0
23,Franklin / Meridian,2010-09-15,PM,9.0
24,Kootenai / Latah,2010-09-16,PM,44.0
25,Rose Hill / Roosevelt,2010-09-16,PM,54.0
26,Vista / Overland,2010-09-15,PM,42.0
27,VMP / Chinden,2010-09-15,PM,77.0
0,03rd / Myrtle,2011-09-14,PM,151.0
1,08th / Bannock,2011-09-15,AM,115.0
2,08th / Greenbelt S,2011-09-13,PM,346.0
3,08th / River,2011-09-13,PM,249.0
4,28th / Sunset,2011-09-14,AM,23.0
5,36th / Greenbelt,2011-09-13,AM,68.0
6,Americana / Greenbelt N,2011-09-14,AM,327.0
7,Broadway / Warm Springs,2011-09-13,AM,58.0
8,Chinden / Garrett,2011-09-15,PM,61.0
9,Cloverdale / McMillan,2011-09-14,AM,100.0
10,Collister / Catalpa,2011-09-15,PM,59.0
11,Emerald / Phillippi,2011-09-13,AM,68.0
12,Five Mile / McMillan,2011-09-13,AM,76.0
13,Garden / Irving,2011-09-13,PM,57.0
14,Hill / Horseshoe Bend,2011-09-13,AM,20.0
15,Linder / Pine,2011-09-15,PM,9.0
16,Ustick / Milwaukee,2011-09-13,PM,79.0
17,VMP / Chinden,2011-09-14,PM,92.0
18,VMP / Greenbelt N,2011-09-14,PM,238.0
0,08th / Bannock,2012-05-16,AM,148.0
1,08th / Franklin,2012-05-17,AM,61.0
2,08th / River,2012-05-16,AM,115.0
3,10th /Bannock,2012-05-16,PM,185.0
4,10th / Franklin,2012-05-15,AM,113.0
5,10th / Franklin,2012-05-15,PM,144.0
6,15th / Franklin,2012-05-16,AM,66.0
7,15th / Grove,2012-05-17,PM,94.0
8,16th / Grove,2012-05-17,PM,87.0
9,23rd / Ellis,2012-05-16,PM,82.0
10,36th / Hill / Catalpa,2012-05-16,PM,115.0
11,43rd / Ustick,2012-05-16,PM,34.0
12,50th / Alworth,2012-05-17,AM,15.0
13,Beacon / Parkcenter,2012-05-15,AM,48.0
14,Beacon / Parkcenter,2012-05-15,PM,134.0
15,Beacon / Parkcenter,2012-05-16,AM,64.0
16,Beacon / Parkcenter,2012-05-17,AM,53.0
17,Chinden / Garrett,2012-05-15,PM,78.0
18,Collister / Catalpa,2012-05-15,PM,56.0
19,Emerald / Americana / Latah,2012-05-16,PM,155.0
20,Emerald / Milwaukee,2012-05-15,PM,76.0
21,Five Mile / McMillan,2012-05-16,AM,55.0
22,Glenwod / Marigold,2012-05-15,PM,140.0
23,Hill / Castle,2012-05-17,PM,53.0
24,Hill / Gary,2012-05-15,PM,72.0
25,Pine / Ten Mile,2012-05-15,PM,18.0
26,Pleasanton / N Greenbelt,2012-05-16,PM,340.0
27,Remington Bridge / N Greenbelt,2012-05-17,AM,46.0
28,Ustick / Curtis,2012-05-16,PM,49.0
29,Ustick / Mitchell,2012-05-15,PM,52.0
0,05th / Idaho,2012-09-13,AM,28.0
1,06th / O'Farrell,2012-09-13,PM,62.0
2,06th / Union,2012-09-11,PM,127.0
3,06th / Union,2012-09-12,AM,46.0
4,06th / Union,2012-09-15,PM,137.0
5,08th / Bannock,2012-09-11,AM,178.0
6,08th / Bannock,2012-09-12,AM,132.0
7,08th / Bannock,2012-09-18,NOON,61.0
8,08th / Main,2012-09-11,PM,339.0
9,08th / Main,2012-09-12,PM,343.0
10,08th / River,2012-09-11,AM,146.0
11,08th / S Greenbelt,2012-09-13,AM,315.0
12,13th / Fort,2012-09-19,PM,129.0
13,15th / Bannock,2012-09-18,PM,59.0
14,15th/ Idaho,2012-09-19,PM,35.0
15,16th / Bannock,2012-09-20,PM,60.0
16,16th / Idaho,2012-09-21,PM,36.0
17,15th / Franklin,2012-09-13,PM,125.0
18,23rd / Ellis,2012-09-12,AM,71.0
19,39th / Taft,2012-09-12,PM,32.0
20,42nd / Greenbelt,2012-09-13,PM,78.0
21,50th / Alworth,2012-09-11,PM,15.0
22,Americana / N Greenbelt,2012-09-13,PM,445.0
23,Bogus Basin / Cartwright,2012-09-12,PM,29.0
24,Bogus Basin / Cartwright,2012-09-15,NOON,90.0
25,Boise / Leadville,2012-09-11,AM,65.0
26,Boise / Protest,2012-09-12,AM,156.0
27,Broadway / S Greenbelt,2012-09-12,PM,306.0
28,Broadway / University,2012-09-20,NOON,124.0
29,Broadway / Warm Springs,2012-09-11,AM,53.0
30,Broadway / Warm Springs,2012-09-12,AM,64.0
31,Chinden / Garrett,2012-09-01,PM,25.0
32,Cloverdale / McMillan,2012-09-12,PM,64.0
33,Curtis / Northview,2012-09-13,PM,66.0
34,Eagle / S Greenbelt,2012-09-11,PM,15.0
35,Eagle / S Greenbelt,2012-09-12,PM,11.0
36,Eagle / S Greenbelt,2012-09-13,PM,14.0
37,Eagle / State,2012-09-11,AM,12.0
38,Eagle / State,2012-09-13,PM,26.0
39,Gowen / Pleasant Valley,2012-09-15,AM,17.0
40,Hill / Harrison,2012-09-11,AM,68.0
41,"Hill, Parkinson / Woodale",2012-09-12,AM,5.0
42,"Hill, Parkinson / Woodale",2012-09-12,PM,11.0
43,Hill / Seaman Gulch,2012-09-12,PM,29.0
44,Hill / Seaman Gulch,2012-09-15,PM,86.0
45,Leadville / S Greenbelt,2012-09-12,PM,202.0
46,Marigold / S Greenbelt,2012-09-13,PM,182.0
47,Orange Bridge & Greenbelt S,2012-09-12,PM,87.0
48,Orange Bridge & Greenbelt S,2012-09-13,PM,213.0
49,Pleasonton Bridge / N Greenbelt,2012-09-12,PM,355.0
50,Pleasonton Bridge / S Greenbelt,2012-09-12,PM,99.0
51,Seaman Gulch / Dry Creek,2012-09-11,PM,4.0
52,Seaman Gulch / Dry Creek,2012-09-12,AM,3.0
53,Ustick / Milwaukee,2012-09-12,PM,37.0
54,Victory / Gowen,2012-09-11,AM,18.0
55,Vista / Kootenai,2012-09-12,PM,96.0
56,Vista / Overland,2012-09-12,AM,28.0
57,VMP / Adams,2012-09-19,AM,27.0
58,Warm Springs / Parkcenter,2012-09-11,AM,21.0
59,Warm Springs / Parkcenter,2012-09-15,AM,59.0
60,Warm Springs / Walnut,2012-09-15,PM,103.0
0,03rd / Myrtle,2013-05-07,AM,59.0
1,08th / Bannock,2013-05-09,AM,149.0
2,08th / Fort,2013-05-09,PM,143.0
3,08th / N Greenbelt,2013-05-07,AM,200.0
4,08th / River,2013-05-08,AM,123.0
5,08th / S Greenbelt,2013-05-07,AM,146.0
6,13th / Fort,2013-05-08,AM,80.0
7,15th / Bannock,2013-05-07,PM,104.0
8,15th / Fort,2013-05-08,AM,56.0
9,15th / Franklin,2013-05-08,AM,81.0
10,16th / Grove,2013-05-07,AM,59.0
11,16th / Grove,2013-05-09,PM,42.0
12,23rd / Ellis,2013-05-07,AM,64.0
13,27th / Pleasanton,2013-05-09,PM,53.0
14,27th / State,2013-05-07,PM,42.0
15,36th / Hill / Catalpa,2013-05-09,PM,90.0
16,Beacon / Parkcenter,2013-05-09,AM,31.0
17,Boise / Apple,2013-05-07,PM,42.0
18,Boise / Protest,2013-05-07,AM,136.0
19,Broadway / N Greenbelt,2013-05-08,AM,119.0
20,Broadway / N Greenbelt,2013-05-08,PM,195.0
21,Broadway / Warm Springs,2013-05-09,AM,47.0
22,Chinden / Garrett,2013-05-08,PM,47.0
23,Eagle / Greenbelt,2013-05-07,PM,6.0
24,Emerald / Americana / Latah,2013-05-09,PM,116.0
25,Emerald / Five Mile,2013-05-09,PM,47.0
26,Emerald / Roosevelt,2013-05-07,AM,46.0
27,Federal Way / Gowen,2013-05-07,AM,19.0
28,Federal Way / Kootenai,2013-05-07,PM,53.0
29,Friendship Bridge / Greenbelt N,2013-05-09,AM,242.0
30,Friendship Bridge / Greenbelt S,2013-05-07,PM,406.0
31,Garden / Emerald,2013-05-09,AM,27.0
32,Glenwood / Marigold,2013-05-07,AM,72.0
33,Hill / Bogus Basin,2013-05-08,PM,95.0
34,Hill / Castle,2013-05-07,PM,33.0
35,Hill / Collister,2013-05-07,PM,58.0
36,Hill / Gary,2013-05-07,AM,19.0
37,Hill / Gary,2013-05-07,PM,27.0
38,Hill / Gary,2013-05-09,AM,17.0
39,Hill / Gary,2013-05-09,PM,72.0
40,Hill / Horseshoe Bend,2013-05-07,PM,25.0
41,Kootenai / Latah,2013-05-07,PM,51.0
42,Kootenai / Latah,2013-05-08,PM,42.0
43,Leadville / Highland,2013-05-07,AM,18.0
44,Leadville / Highland,2013-05-08,AM,26.0
45,Linder / Pine,2013-05-08,AM,17.0
46,Locust Grove / Overland,2013-05-07,AM,10.0
47,Locust Grove / Overland,2013-05-07,PM,11.0
48,Maple Grove / Victory,2013-05-08,AM,48.0
49,Maple Grove / Victory,2013-05-09,AM,48.0
50,Milwaukee / Northview,2013-05-09,AM,54.0
51,Milwaukee / Northview,2013-05-09,PM,42.0
52,Parkcenter / Bown,2013-05-09,AM,117.0
53,Remington Bridge / Greenbelt,2013-05-09,AM,67.0
54,Ustick / Mitchell,2013-05-07,PM,25.0
55,Victory / Orchard,2013-05-07,PM,15.0
56,VMP / Chinden,2013-05-07,AM,45.0
57,VMP / Chinden,2013-05-09,PM,59.0
58,VMP / State,2013-05-07,AM,69.0
59,VMP / State,2013-05-07,PM,130.0
60,Warm Springs / Walnut,2013-05-09,PM,115.0
0,03rd / Bannock,2013-09-10,AM,52.0
1,03rd / Myrtle,2013-09-10,PM,150.0
2,07th / Brumback,2013-09-11,AM,24.0
3,08th / Bannock,2013-09-10,AM,165.0
4,08th / Bannock,2013-09-11,AM,149.0
5,08th / Bannock,2013-09-12,AM,130.0
6,08th / Brumback,2013-09-11,AM,28.0
7,08th / Fort,2013-09-11,PM,122.0
8,08th / Front,2013-09-10,AM,167.0
9,08th / Greenbelt,2013-09-12,AM,164.0
10,08th / River,2013-09-10,PM,295.0
11,08th / S Greenbelt,2013-09-12,AM,288.0
12,10th / Grove,2013-09-12,PM,49.0
13,13th / Fort,2013-09-10,PM,126.0
14,13th / Fort,2013-09-11,PM,115.0
15,13th / Lemp,2013-09-10,PM,106.0
16,15th / Bannock,2013-09-12,PM,117.0
17,15th / Franklin,2013-09-12,PM,116.0
18,18th / Resseguie,2013-09-10,AM,103.0
19,23rd / Ellis,2013-09-10,AM,63.0
20,27th / Fairview,2013-09-11,AM,53.0
21,27th / State,2013-09-10,AM,37.0
22,27th / State,2013-09-11,AM,43.0
23,27th / State,2013-09-12,AM,43.0
24,36th / Hill / Catalpa,2013-09-10,AM,91.0
25,Amity / Holcomb,2013-09-11,PM,18.0
26,Boise / Apple,2013-09-11,PM,55.0
27,Broadway / Greenbelt,2013-09-10,PM,292.0
28,Broadway / Warm Springs,2013-09-10,AM,73.0
29,Cassia / Curtis,2013-09-12,PM,48.0
30,Chinden / Garrett,2013-09-10,AM,36.0
31,Collister / Catalpa,2013-09-10,PM,43.0
32,Eagle / State,2013-09-11,AM,15.0
33,Emerald / Americana / Latah,2013-09-11,PM,129.0
34,Emerald / Five Mile,2013-09-10,AM,32.0
35,Emerald / Five Mile,2013-09-11,PM,52.0
36,Emerald / Phillippi,2013-09-11,AM,69.0
37,Federal Way / Kootenai,2013-09-10,PM,145.0
38,Five Mile / McMillan,2013-09-11,AM,66.0
39,Five Mile / McMillan,2013-09-12,AM,62.0
40,Friendship Bridge / Greenbelt,2013-09-10,PM,413.0
41,Friendship Bridge / Greenbelt,2013-09-12,PM,593.0
42,Glenwood / Marigold,2013-09-11,AM,27.0
43,Hill / Castle,2013-09-11,AM,38.0
44,Hill / Harrison,2013-09-12,AM,49.0
45,Hill / Horseshoe Bend,2013-09-10,PM,38.0
46,Jefferson / Avenue B,2013-09-10,AM,79.0
47,Leadville / Highland,2013-09-10,AM,49.0
48,Leadville / Highland,2013-09-10,PM,50.0
49,Leadville / Highland,2013-09-12,AM,31.0
50,Leadville / Highland,2013-09-12,PM,41.0
51,Maple Grove / Victory,2013-09-11,PM,24.0
52,Marigold / S Greenbelt,2013-09-11,PM,48.0
53,Pleasanton Bridge / N Greenbelt,2013-09-10,PM,254.0
54,Ustick / Milwaukee,2013-09-12,PM,51.0
55,VMP / Adams,2013-09-11,PM,61.0
56,VMP / Chinden,2013-09-10,PM,75.0
57,Warm Springs / Walnut,2013-09-10,PM,78.0
0,03rd / Myrtle,2014-09-10,PM,133.0
1,03rd / Myrtle,2014-09-11,AM,87.0
2,08th / Bannock,2014-09-10,AM,201.0
3,08th / Bannock,2014-09-11,PM,306.0
4,08th / Brumback,2014-09-11,AM,30.0
5,08th / Fort,2014-09-11,PM,153.0
6,08th / Greenbelt,2014-09-09,AM,281.0
7,08th / River,2014-09-09,PM,302.0
8,08th / River,2014-09-11,AM,109.0
9,10th / Bannock,2014-09-11,PM,192.0
10,13th / Fort,2014-09-09,PM,104.0
11,13th / Fort,2014-09-10,PM,102.0
12,13th / Fort,2014-09-11,PM,86.0
13,15th / Franklin,2014-09-11,PM,156.0
14,18th / Resseguie,2014-09-11,AM,113.0
15,27th / State,2014-09-09,PM,43.0
16,36th / Hill / Catalpa,2014-09-10,AM,55.0
17,Amity / Holcomb,2014-09-10,PM,26.0
18,Boise / Apple,2014-09-09,PM,78.0
19,Boise / Bergeson,2014-09-11,PM,16.0
20,Boise / Protest,2014-09-10,AM,146.0
21,Boise / Protest,2014-09-10,PM,173.0
22,Broadway / University,2014-09-11,AM,41.0
23,Broadway / Warm Springs,2014-09-10,AM,62.0
24,Cloverdale / McMillan,2014-09-09,PM,60.0
25,Collister / Catalpa,2014-09-09,PM,49.0
26,Eagle / State,2014-09-09,AM,21.0
27,Emerald / Americana / Latah,2014-09-09,PM,182.0
28,Fairview / Orchard,2014-09-11,AM,53.0
29,Federal Way / Bergerson,2014-09-11,PM,34.0
30,Five Mile / McMillan,2014-09-09,AM,57.0
31,Friendship Bridge / N Greenbelt,2014-09-10,PM,455.0
32,Friendship Bridge / S Greenbelt,2014-09-10,PM,660.0
33,Glenwood / Marigold,2014-09-09,AM,33.0
34,Hill / Bogus Basin,2014-09-10,PM,125.0
35,Hill / Castle,2014-09-10,AM,27.0
36,Hill / Horseshoe Bend,2014-09-09,AM,18.0
37,Hill / Horseshoe Bend,2014-09-10,AM,11.0
38,Hill / Horseshoe Bend,2014-09-10,PM,35.0
39,Hill / Horseshoe Bend,2014-09-11,AM,15.0
40,Idaho / Capitol,2014-09-09,AM,51.0
41,Idaho / Capitol,2014-09-11,AM,53.0
42,Irving / Orchard,2014-09-09,PM,95.0
43,Jefferson / Fort,2014-09-10,AM,90.0
44,Kootenai / Latah,2014-09-10,PM,61.0
45,Kootenai / Latah,2014-09-11,AM,64.0
46,Leadville / Highland,2014-09-11,AM,43.0
47,Linder / Pine,2014-09-09,PM,18.0
48,Linder / Porter,2014-09-09,AM,15.0
49,Locust Grove / Overland,2014-09-09,PM,19.0
50,Maple Grove / Victory,2014-09-09,AM,43.0
51,Maple Grove / Victory,2014-09-09,PM,14.0
52,Maple Grove / Victory,2014-09-11,AM,45.0
53,Orange Bridge / Greenbelt,2014-09-10,PM,227.0
54,Parkcenter / Bown,2014-09-09,AM,46.0
55,Parkcenter / Bown,2014-09-11,AM,36.0
56,Pine / Meridian,2014-09-10,PM,21.0
57,Royal / Lusk,2014-09-09,AM,47.0
58,Vista / Overland,2014-09-11,AM,32.0
59,VMP / Chinden,2014-09-09,PM,61.0
60,Warm Springs / Walnut,2014-09-11,PM,76.0
61,WWPB / Main,2014-09-17,PM,59.0
62,WWPB / State,2014-09-10,PM,61.0
0,36th / Taft,2015-05-27,AM,22.0
1,Bogart / Caswell,2015-05-27,PM,8.0
2,Bogart / State,2015-05-27,AM,6.0
3,Collister / State,2015-05-28,AM,17.0
4,Gary / Gillis,2015-05-27,PM,29.0
5,Gary / State,2015-05-28,AM,25.0
6,Hill / Castle,2015-05-27,PM,34.0
7,Hill / Gary,2015-05-27,PM,31.0
8,Hill / Seaman Gulch,2015-05-28,PM,50.0
9,Horseshoe Bend / State,2015-05-28,AM,4.0
10,Pierce Park / Castle,2015-05-28,PM,31.0
11,Pierce Park / Tobi,2015-05-27,AM,10.0
0,Bown/Parkcenter,2016-05-11,AM,36.0
1,Beacon/Boise,2016-05-11,AM,94.0
2,27th/State,2016-05-12,PM,53.0
3,Veterans Memorial/Chinden,2016-05-11,PM,62.0
4,Hill/Horseshoe Bend,2016-05-11,AM,18.0
5,Walnut/Warm Springs,2016-05-10,AM,
6,Walnut/Warm Springs,2016-05-10,PM,77.0
7,8th/Bannock,2016-05-12,PM,194.0
8,13th/Fort,2016-05-12,PM,108.0
9,BaybrookCt/Greenbelt,2016-05-12,PM,236.0
10,10th/Jefferson,2016-05-11,AM,63.0
11,RemingtonBridge/Greenbelt,2016-05-12,AM,53.0
12,Collister/Catalpa,2016-05-12,PM,48.0
13,Cloverdale/McMillan,2016-05-12,AM,57.0
14,Broadway/Warm Springs,2016-05-11,PM,88.0
15,10th/Bannock,2016-05-11,PM,189.0
16,15th/Franklin,2016-05-11,PM,156.0
17,Lusk/Royal,2016-05-11,PM,82.0
18,23rd/Ellis,2016-05-12,AM,60.0
19,Apple/Boise,2016-05-12,AM,39.0
20,Bogus Basin/Hill,2016-05-11,AM,70.0
21,Latah/Kootenai,2016-05-11,AM,39.0
22,Emerald/Latah,2016-05-11,AM,95.0
23,Leadville/Highland,2016-05-10,AM,25.0
24,,,,0.0
25,,,,0.0
0,Federal/Protest/Kootenia,2018-05-09,am,66.0
1,10th and Franklin/Boise High,2018-05-09,am,148.0
2,Garden St/Franklin Rd,2019-05-10,PM,33.0
3,27th/State St,2018-05-09,PM,45.0
4,10th/Bannock,2018-05-01,PM,206.0
5,Vista/Overland,2018-05-09,PM,35.0
6,Curtis/Cassia,2018-05-09,PM,23.0
7,Boise/Bown,2018-05-09,AM,38.0
8,Whitewater/Pleasonton,2018-05-08,PM,97.0
9,Whitewater/Pleasonton,2018-05-08,PM,100.0
10,Shoeshone/Cassia,2018-05-08,PM,20.0
11,Parkcenter/Bown,2018-05-08,AM,47.0
12,Lusk/Royal,2018-05-09,PM,85.0
0,8th/Bannock,2019-05-07,AM,130.0
1,8th/fort,2019-05-07,AM,43.0
2,8th/river,2019-05-07,PM,282.0
3,Anne frank/greenbelt,2019-05-08,AM,156.0
4,Latah/Kootani,2019-05-07,PM,34.0
5,Ceaser chaavez(greenbelt)/Friendship bridge,2019-05-07,AM,199.0
6,Apple/Boise,2019-05-10,PM,39.0
7,Bergeson/Federal,2019-05-08,AM,26.0
8,36th and Street,2019-05-08,PM,140.0
9,Glenwood/Merigood,2019-05-09,AM,37.0
10,Bergeson/Hill,2019-05-09,AM,89.0
11,Ave B/Warmsprings/Broadway,2019-05-09,PM,98.0
