Location,Date,Time,Total
08th / Bannock,2012-05-16,AM,148.0
08th / Franklin,2012-05-17,AM,61.0
08th / River,2012-05-16,AM,115.0
10th /Bannock,2012-05-16,PM,185.0
10th / Franklin,2012-05-15,AM,113.0
10th / Franklin,2012-05-15,PM,144.0
15th / Franklin,2012-05-16,AM,66.0
15th / Grove,2012-05-17,PM,94.0
16th / Grove,2012-05-17,PM,87.0
23rd / Ellis,2012-05-16,PM,82.0
36th / Hill / Catalpa,2012-05-16,PM,115.0
43rd / Ustick,2012-05-16,PM,34.0
50th / Alworth,2012-05-17,AM,15.0
Beacon / Parkcenter,2012-05-15,AM,48.0
Beacon / Parkcenter,2012-05-15,PM,134.0
Beacon / Parkcenter,2012-05-16,AM,64.0
Beacon / Parkcenter,2012-05-17,AM,53.0
Chinden / Garrett,2012-05-15,PM,78.0
Collister / Catalpa,2012-05-15,PM,56.0
Emerald / Americana / Latah,2012-05-16,PM,155.0
Emerald / Milwaukee,2012-05-15,PM,76.0
Five Mile / McMillan,2012-05-16,AM,55.0
Glenwod / Marigold,2012-05-15,PM,140.0
Hill / Castle,2012-05-17,PM,53.0
Hill / Gary,2012-05-15,PM,72.0
Pine / Ten Mile,2012-05-15,PM,18.0
Pleasanton / N Greenbelt,2012-05-16,PM,340.0
Remington Bridge / N Greenbelt,2012-05-17,AM,46.0
Ustick / Curtis,2012-05-16,PM,49.0
Ustick / Mitchell,2012-05-15,PM,52.0
03rd / Myrtle,2013-05-07,AM,59.0
08th / Bannock,2013-05-09,AM,149.0
08th / Fort,2013-05-09,PM,143.0
08th / N Greenbelt,2013-05-07,AM,200.0
08th / River,2013-05-08,AM,123.0
08th / S Greenbelt,2013-05-07,AM,146.0
13th / Fort,2013-05-08,AM,80.0
15th / Bannock,2013-05-07,PM,104.0
15th / Fort,2013-05-08,AM,56.0
15th / Franklin,2013-05-08,AM,81.0
16th / Grove,2013-05-07,AM,59.0
16th / Grove,2013-05-09,PM,42.0
23rd / Ellis,2013-05-07,AM,64.0
27th / Pleasanton,2013-05-09,PM,53.0
27th / State,2013-05-07,PM,42.0
36th / Hill / Catalpa,2013-05-09,PM,90.0
Beacon / Parkcenter,2013-05-09,AM,31.0
Boise / Apple,2013-05-07,PM,42.0
Boise / Protest,2013-05-07,AM,136.0
Broadway / N Greenbelt,2013-05-08,AM,119.0
Broadway / N Greenbelt,2013-05-08,PM,195.0
Broadway / Warm Springs,2013-05-09,AM,47.0
Chinden / Garrett,2013-05-08,PM,47.0
Eagle / Greenbelt,2013-05-07,PM,6.0
Emerald / Americana / Latah,2013-05-09,PM,116.0
Emerald / Five Mile,2013-05-09,PM,47.0
Emerald / Roosevelt,2013-05-07,AM,46.0
Federal Way / Gowen,2013-05-07,AM,19.0
Federal Way / Kootenai,2013-05-07,PM,53.0
Friendship Bridge / Greenbelt N,2013-05-09,AM,242.0
Friendship Bridge / Greenbelt S,2013-05-07,PM,406.0
Garden / Emerald,2013-05-09,AM,27.0
Glenwood / Marigold,2013-05-07,AM,72.0
Hill / Bogus Basin,2013-05-08,PM,95.0
Hill / Castle,2013-05-07,PM,33.0
Hill / Collister,2013-05-07,PM,58.0
Hill / Gary,2013-05-07,AM,19.0
Hill / Gary,2013-05-07,PM,27.0
Hill / Gary,2013-05-09,AM,17.0
Hill / Gary,2013-05-09,PM,72.0
Hill / Horseshoe Bend,2013-05-07,PM,25.0
Kootenai / Latah,2013-05-07,PM,51.0
Kootenai / Latah,2013-05-08,PM,42.0
Leadville / Highland,2013-05-07,AM,18.0
Leadville / Highland,2013-05-08,AM,26.0
Linder / Pine,2013-05-08,AM,17.0
Locust Grove / Overland,2013-05-07,AM,10.0
Locust Grove / Overland,2013-05-07,PM,11.0
Maple Grove / Victory,2013-05-08,AM,48.0
Maple Grove / Victory,2013-05-09,AM,48.0
Milwaukee / Northview,2013-05-09,AM,54.0
Milwaukee / Northview,2013-05-09,PM,42.0
Parkcenter / Bown,2013-05-09,AM,117.0
Remington Bridge / Greenbelt,2013-05-09,AM,67.0
Ustick / Mitchell,2013-05-07,PM,25.0
Victory / Orchard,2013-05-07,PM,15.0
VMP / Chinden,2013-05-07,AM,45.0
VMP / Chinden,2013-05-09,PM,59.0
VMP / State,2013-05-07,AM,69.0
VMP / State,2013-05-07,PM,130.0
Warm Springs / Walnut,2013-05-09,PM,115.0
36th / Taft,2015-05-27,AM,22.0
Bogart / Caswell,2015-05-27,PM,8.0
Bogart / State,2015-05-27,AM,6.0
Collister / State,2015-05-28,AM,17.0
Gary / Gillis,2015-05-27,PM,29.0
Gary / State,2015-05-28,AM,25.0
Hill / Castle,2015-05-27,PM,34.0
Hill / Gary,2015-05-27,PM,31.0
Hill / Seaman Gulch,2015-05-28,PM,50.0
Horseshoe Bend / State,2015-05-28,AM,4.0
Pierce Park / Castle,2015-05-28,PM,31.0
Pierce Park / Tobi,2015-05-27,AM,10.0
Bown/Parkcenter,2016-05-11,AM,36.0
Beacon/Boise,2016-05-11,AM,94.0
27th/State,2016-05-12,PM,53.0
Veterans Memorial/Chinden,2016-05-11,PM,62.0
Hill/Horseshoe Bend,2016-05-11,AM,18.0
Walnut/Warm Springs,2016-05-10,AM,
Walnut/Warm Springs,2016-05-10,PM,77.0
8th/Bannock,2016-05-12,PM,194.0
13th/Fort,2016-05-12,PM,108.0
BaybrookCt/Greenbelt,2016-05-12,PM,236.0
10th/Jefferson,2016-05-11,AM,63.0
RemingtonBridge/Greenbelt,2016-05-12,AM,53.0
Collister/Catalpa,2016-05-12,PM,48.0
Cloverdale/McMillan,2016-05-12,AM,57.0
Broadway/Warm Springs,2016-05-11,PM,88.0
10th/Bannock,2016-05-11,PM,189.0
15th/Franklin,2016-05-11,PM,156.0
Lusk/Royal,2016-05-11,PM,82.0
23rd/Ellis,2016-05-12,AM,60.0
Apple/Boise,2016-05-12,AM,39.0
Bogus Basin/Hill,2016-05-11,AM,70.0
Latah/Kootenai,2016-05-11,AM,39.0
Emerald/Latah,2016-05-11,AM,95.0
Leadville/Highland,2016-05-10,AM,25.0
,,,0.0
,,,0.0
Federal/Protest/Kootenia,2018-05-09,am,66.0
10th and Franklin/Boise High,2018-05-09,am,148.0
Garden St/Franklin Rd,2019-05-10,PM,33.0
27th/State St,2018-05-09,PM,45.0
10th/Bannock,2018-05-01,PM,206.0
Vista/Overland,2018-05-09,PM,35.0
Curtis/Cassia,2018-05-09,PM,23.0
Boise/Bown,2018-05-09,AM,38.0
Whitewater/Pleasonton,2018-05-08,PM,97.0
Whitewater/Pleasonton,2018-05-08,PM,100.0
Shoeshone/Cassia,2018-05-08,PM,20.0
Parkcenter/Bown,2018-05-08,AM,47.0
Lusk/Royal,2018-05-09,PM,85.0
8th/Bannock,2019-05-07,AM,130.0
8th/fort,2019-05-07,AM,43.0
8th/river,2019-05-07,PM,282.0
Anne frank/greenbelt,2019-05-08,AM,156.0
Latah/Kootani,2019-05-07,PM,34.0
Ceaser chaavez(greenbelt)/Friendship bridge,2019-05-07,AM,199.0
Apple/Boise,2019-05-10,PM,39.0
Bergeson/Federal,2019-05-08,AM,26.0
36th and Street,2019-05-08,PM,140.0
Glenwood/Merigood,2019-05-09,AM,37.0
Bergeson/Hill,2019-05-09,AM,89.0
Ave B/Warmsprings/Broadway,2019-05-09,PM,98.0
